pid,ptime,src_ip_address,dst_ip_address,frame_protos,src_port,dst_port,bytes_trans,attack,protocol,Date
10.42.0.211-52.6.25.230-34451-443-6,30:38.0,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,22043,48,0,TCP,08/31/19 22:21
172.217.3.99-10.42.0.151-443-53892-6,30:38.0,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,22043,48,1,UDP,08/15/19 15:11
172.217.3.98-10.42.0.151-443-50750-6,30:38.2,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,80,22043,40,0,TCP,08-06-19 14:40
10.42.0.211-10.42.0.1-23025-53-17,30:38.2,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,22043,40,1,UDP,08/29/19 20:59
173.194.205.139-10.42.0.151-443-57625-6,30:38.3,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,22043,40,0,TCP,08-02-19 23:54
172.217.7.195-10.42.0.211-443-37893-6,30:56.4,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,19810,30600,48,1,TCP,08-04-19 19:52
172.217.12.170-10.42.0.211-443-44342-6,30:56.7,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,19810,30600,40,0,TCP,08/13/19 07:16
10.42.0.211-47.89.68.225-47485-443-6,30:56.8,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp:vssmonitoring,19810,30600,40,1,TCP,08/25/19 20:11
10.42.0.42-52.179.189.71-54061-443-6,30:56.8,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,19810,30600,40,0,TCP,08-07-19 15:43
216.58.219.194-10.42.0.42-443-48094-6,30:57.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,111,47419,48,1,TCP,08-09-19 19:38
180.76.182.155-10.42.0.211-80-60586-6,30:57.8,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,111,47419,40,0,TCP,08/26/19 20:52
172.217.12.162-10.42.0.151-443-41454-6,30:57.8,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,111,47419,40,1,TCP,08/19/19 12:40
172.217.10.130-10.42.0.151-443-56907-6,30:58.3,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,111,47419,40,1,TCP,08/31/19 15:47
172.217.3.106-10.42.0.211-443-41106-6,31:12.5,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,7421,48,0,TCP,08-09-19 16:50
10.42.0.211-10.42.0.1-10052-53-17,31:12.5,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,7421,48,1,TCP,08/23/19 19:29
10.42.0.211-52.0.93.246-45776-443-6,31:13.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp:vssmonitoring,80,7421,40,1,TCP,08/15/19 19:13
10.42.0.151-121.29.54.142-59447-80-6,31:13.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,7421,40,0,TCP,08/23/19 12:54
172.217.6.202-10.42.0.211-443-47447-6,31:38.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,48,0,TCP,08-08-19 16:06
172.217.12.170-10.42.0.151-443-49883-6,31:38.6,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:ldap,389,29795,473,1,TCP,08/21/19 10:55
173.194.175.188-10.42.0.151-5228-34789-6,31:38.6,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,473,0,UDP,08-08-19 12:00
239.255.255.250-10.42.0.1-1900-44477-17,31:38.7,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,62,1,TCP,08/23/19 07:34
10.42.0.151-104.254.66.16-54085-80-6,31:39.1,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,389,29795,40,0,TCP,08/20/19 13:26
172.217.12.206-10.42.0.151-443-34088-6,31:39.1,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,40,1,TCP,08-12-19 21:57
10.42.0.42-54.192.38.154-59370-443-6,31:41.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,40,0,TCP,08/14/19 23:45
180.149.136.194-10.42.0.211-80-57315-6,31:41.5,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,389,29795,40,1,TCP,08-04-19 19:06
10.42.0.42-66.198.178.91-52456-443-6,32:00.9,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,80,8630,48,1,TCP,08/21/19 00:48
